source_id,publisher,source_url,local_file,retrieval_date,period_covered,file_hash,row_count_raw,records_csv_parsed,blank_padding_rows,records_real,records_in_window,records_undated,counts_in_e1,licence,licence_url,attribution,notes
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/7493-payment-over-500-2024-03,Bristol_City_Council__2024-03.csv,2026-08-26,2024-03,DC05F36F1CB28EC3F86BD98379D444722FADE6A83E1F0B93917F019E0861FF18,7167,7167,0,7167,7164,0,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=7167. 3 record(s) dated outside the analysis window (file month range 2024-02..2024-03)
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8042-supplier-spend-apr-2024,Bristol_City_Council__2024-04.csv,2026-08-26,2024-04,56302AF315ECADF77DD6ADCE6F7E7CCFB17F561A5AA465E950D3EE326A8B83F3,6727,6727,0,6727,6726,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=6726; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8041-supplier-spend-may-2024,Bristol_City_Council__2024-05.csv,2026-08-26,2024-05,A44A2E6AE6D1630672637A396E23DE22BC6E7B445E480252F4F324F77247C67D,6574,6574,0,6574,6573,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=6573; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8040-supplier-spend-june-2024,Bristol_City_Council__2024-06.csv,2026-08-26,2024-06,F896A2F6C6A4DBAE545A603C04F54BC4A4B5869E771E6F1333CB5B97E88EDC5D,5381,5381,0,5381,5380,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5380; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8039-supplier-spend-july-2024,Bristol_City_Council__2024-07.csv,2026-08-26,2024-07,D0C16B0977FADFE521C169A5E10A6AD2D5AD02CE65A751B01E4F01A4E6C329A9,5945,5945,0,5945,5944,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5944; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8526-supplier-spend-august-2024,Bristol_City_Council__2024-08.csv,2026-08-26,2024-08,B47D18077ED641A80F2D501F8AD6403239D056322FF5DF288BD1F9FA62A18B21,6077,6077,0,6077,6076,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=6076; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8527-supplier-spend-september-2024,Bristol_City_Council__2024-09.csv,2026-08-26,2024-09,1833D6D87430A8B62218E661B9204CE20B185C006B74734A74A3D9AD8FFA7510,4984,4984,0,4984,4983,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=4983; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8528-supplier-spend-october-2024,Bristol_City_Council__2024-10.csv,2026-08-26,2024-10,0E92D35A88142E54B244D9E8949974B8A0D7BC5B1F96154873831BCE050D8EAA,5868,5868,0,5868,5867,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5867; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8636-supplier-spend-november-2024,Bristol_City_Council__2024-11.csv,2026-08-26,2024-11,4D1E4CB622FA1EDE9AC4D286446E81B543B731AA29F298DBA6FA9E42DA00C8FC,5898,5898,0,5898,5897,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5897; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8918-supplier-spend-december-2024,Bristol_City_Council__2024-12.csv,2026-08-26,2024-12,8F694607FF6FBDB238C8BCB6D35238DFD18CE94D1101F7468A8CF7B1888111B1,5412,5412,0,5412,5410,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5411; BLANK=1. 1 record(s) with no usable payment date. 1 record(s) dated outside the analysis window (file month range 2023-12..2024-12)
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/8919-supplier-spend-january-2025,Bristol_City_Council__2025-01.csv,2026-08-26,2025-01,C812C9802704D80E41E423959286B6E355DA2AF5CA7ADFF4ECAFF1D3C947BD5F,5725,5725,0,5725,5723,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5724; BLANK=1. 1 record(s) with no usable payment date. 1 record(s) dated outside the analysis window (file month range 2024-01..2025-01)
B-DS-02,Bristol City Council,https://www.bristol.gov.uk/files/documents/9398-supplier-spend-february-2025,Bristol_City_Council__2025-02.csv,2026-08-26,2025-02,89C8B594697DAF433310329032533FAFD657F32396C871DD424476F3F1C11E55,5617,5617,0,5617,5616,1,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,encoding=cp1252. date_formats=dd/mm/yyyy=5616; BLANK=1. 1 record(s) with no usable payment date
B-DS-02,City of York Council,https://data.yorkopendata.org/dataset/27bc1dc6-d62f-4b93-a326-13989f5bfb56/resource/77df7495-0abe-4273-b927-c7efadc2e4e4/download/over250payments2023.csv,City_of_York_Council__2024-03.csv,2026-08-26,2024-03,5D2CDF1712ADC5B3416CC4E0CEABE1C896D4D2758B416428BF8A85AFA395AFFF,61708,61708,0,61708,5256,0,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,WHOLE FY2023/24 file (Apr 2023-Mar 2024). Period is a filename label only - filter to 2024-03 at staging. encoding=cp1252. MULTIPLE DATE FORMATS IN ONE COLUMN: dd/mm/yyyy=35099; dd/mm/yyyy HH:MM=26609. 56452 record(s) dated outside the analysis window (file month range 2023-04..2024-03)
B-DS-02,City of York Council,https://data.yorkopendata.org/dataset/27bc1dc6-d62f-4b93-a326-13989f5bfb56/resource/b9987983-d122-4d50-bf33-d161bca2968c/download/over250payments2024.csv,City_of_York_Council__2024-04.csv,2026-08-26,2024-04,E0D410BE0AF267EC26AADBD0CF7F966B96E81120D940EA16BEC4BAFF248C347E,63095,63095,0,63095,56991,0,TRUE,OGL v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contains public sector information licensed under the Open Government Licence v3.0.,WHOLE FY2024/25 file (Apr 2024-Mar 2025). Period is a filename label only - filter to 2024-04..2025-02 at staging. encoding=cp1252. MULTIPLE DATE FORMATS IN ONE COLUMN: dd/mm/yyyy HH:MM=45977; dd/mm/yyyy=17118. 6104 record(s) dated outside the analysis window (file month range 2024-04..2025-03)
