date_key,calendar_year,calendar_quarter,month_number,month_name,year_month,day_of_month,day_name,is_weekend,fiscal_year,fiscal_year_label,is_in_analysis_window
2023-04-04,2023,2,4,April,2023-04,4,Tuesday,false,2023,2023/24,false
2023-04-05,2023,2,4,April,2023-04,5,Wednesday,false,2023,2023/24,false
2023-04-06,2023,2,4,April,2023-04,6,Thursday,false,2023,2023/24,false
2023-04-07,2023,2,4,April,2023-04,7,Friday,false,2023,2023/24,false
2023-04-08,2023,2,4,April,2023-04,8,Saturday,true,2023,2023/24,false
2023-04-09,2023,2,4,April,2023-04,9,Sunday,true,2023,2023/24,false
2023-04-10,2023,2,4,April,2023-04,10,Monday,false,2023,2023/24,false
2023-04-11,2023,2,4,April,2023-04,11,Tuesday,false,2023,2023/24,false
2023-04-12,2023,2,4,April,2023-04,12,Wednesday,false,2023,2023/24,false
2023-04-13,2023,2,4,April,2023-04,13,Thursday,false,2023,2023/24,false
2023-04-14,2023,2,4,April,2023-04,14,Friday,false,2023,2023/24,false
2023-04-15,2023,2,4,April,2023-04,15,Saturday,true,2023,2023/24,false
2023-04-16,2023,2,4,April,2023-04,16,Sunday,true,2023,2023/24,false
2023-04-17,2023,2,4,April,2023-04,17,Monday,false,2023,2023/24,false
2023-04-18,2023,2,4,April,2023-04,18,Tuesday,false,2023,2023/24,false
2023-04-19,2023,2,4,April,2023-04,19,Wednesday,false,2023,2023/24,false
2023-04-20,2023,2,4,April,2023-04,20,Thursday,false,2023,2023/24,false
2023-04-21,2023,2,4,April,2023-04,21,Friday,false,2023,2023/24,false
2023-04-22,2023,2,4,April,2023-04,22,Saturday,true,2023,2023/24,false
2023-04-23,2023,2,4,April,2023-04,23,Sunday,true,2023,2023/24,false
2023-04-24,2023,2,4,April,2023-04,24,Monday,false,2023,2023/24,false
2023-04-25,2023,2,4,April,2023-04,25,Tuesday,false,2023,2023/24,false
2023-04-26,2023,2,4,April,2023-04,26,Wednesday,false,2023,2023/24,false
2023-04-27,2023,2,4,April,2023-04,27,Thursday,false,2023,2023/24,false
2023-04-28,2023,2,4,April,2023-04,28,Friday,false,2023,2023/24,false
2023-04-29,2023,2,4,April,2023-04,29,Saturday,true,2023,2023/24,false
2023-04-30,2023,2,4,April,2023-04,30,Sunday,true,2023,2023/24,false
2023-05-01,2023,2,5,May,2023-05,1,Monday,false,2023,2023/24,false
2023-05-02,2023,2,5,May,2023-05,2,Tuesday,false,2023,2023/24,false
2023-05-03,2023,2,5,May,2023-05,3,Wednesday,false,2023,2023/24,false
2023-05-04,2023,2,5,May,2023-05,4,Thursday,false,2023,2023/24,false
2023-05-05,2023,2,5,May,2023-05,5,Friday,false,2023,2023/24,false
2023-05-06,2023,2,5,May,2023-05,6,Saturday,true,2023,2023/24,false
2023-05-07,2023,2,5,May,2023-05,7,Sunday,true,2023,2023/24,false
2023-05-08,2023,2,5,May,2023-05,8,Monday,false,2023,2023/24,false
2023-05-09,2023,2,5,May,2023-05,9,Tuesday,false,2023,2023/24,false
2023-05-10,2023,2,5,May,2023-05,10,Wednesday,false,2023,2023/24,false
2023-05-11,2023,2,5,May,2023-05,11,Thursday,false,2023,2023/24,false
2023-05-12,2023,2,5,May,2023-05,12,Friday,false,2023,2023/24,false
2023-05-13,2023,2,5,May,2023-05,13,Saturday,true,2023,2023/24,false
2023-05-14,2023,2,5,May,2023-05,14,Sunday,true,2023,2023/24,false
2023-05-15,2023,2,5,May,2023-05,15,Monday,false,2023,2023/24,false
2023-05-16,2023,2,5,May,2023-05,16,Tuesday,false,2023,2023/24,false
2023-05-17,2023,2,5,May,2023-05,17,Wednesday,false,2023,2023/24,false
2023-05-18,2023,2,5,May,2023-05,18,Thursday,false,2023,2023/24,false
2023-05-19,2023,2,5,May,2023-05,19,Friday,false,2023,2023/24,false
2023-05-20,2023,2,5,May,2023-05,20,Saturday,true,2023,2023/24,false
2023-05-21,2023,2,5,May,2023-05,21,Sunday,true,2023,2023/24,false
2023-05-22,2023,2,5,May,2023-05,22,Monday,false,2023,2023/24,false
2023-05-23,2023,2,5,May,2023-05,23,Tuesday,false,2023,2023/24,false
2023-05-24,2023,2,5,May,2023-05,24,Wednesday,false,2023,2023/24,false
2023-05-25,2023,2,5,May,2023-05,25,Thursday,false,2023,2023/24,false
2023-05-26,2023,2,5,May,2023-05,26,Friday,false,2023,2023/24,false
2023-05-27,2023,2,5,May,2023-05,27,Saturday,true,2023,2023/24,false
2023-05-28,2023,2,5,May,2023-05,28,Sunday,true,2023,2023/24,false
2023-05-29,2023,2,5,May,2023-05,29,Monday,false,2023,2023/24,false
2023-05-30,2023,2,5,May,2023-05,30,Tuesday,false,2023,2023/24,false
2023-05-31,2023,2,5,May,2023-05,31,Wednesday,false,2023,2023/24,false
2023-06-01,2023,2,6,June,2023-06,1,Thursday,false,2023,2023/24,false
2023-06-02,2023,2,6,June,2023-06,2,Friday,false,2023,2023/24,false
2023-06-03,2023,2,6,June,2023-06,3,Saturday,true,2023,2023/24,false
2023-06-04,2023,2,6,June,2023-06,4,Sunday,true,2023,2023/24,false
2023-06-05,2023,2,6,June,2023-06,5,Monday,false,2023,2023/24,false
2023-06-06,2023,2,6,June,2023-06,6,Tuesday,false,2023,2023/24,false
2023-06-07,2023,2,6,June,2023-06,7,Wednesday,false,2023,2023/24,false
2023-06-08,2023,2,6,June,2023-06,8,Thursday,false,2023,2023/24,false
2023-06-09,2023,2,6,June,2023-06,9,Friday,false,2023,2023/24,false
2023-06-10,2023,2,6,June,2023-06,10,Saturday,true,2023,2023/24,false
2023-06-11,2023,2,6,June,2023-06,11,Sunday,true,2023,2023/24,false
2023-06-12,2023,2,6,June,2023-06,12,Monday,false,2023,2023/24,false
2023-06-13,2023,2,6,June,2023-06,13,Tuesday,false,2023,2023/24,false
2023-06-14,2023,2,6,June,2023-06,14,Wednesday,false,2023,2023/24,false
2023-06-15,2023,2,6,June,2023-06,15,Thursday,false,2023,2023/24,false
2023-06-16,2023,2,6,June,2023-06,16,Friday,false,2023,2023/24,false
2023-06-17,2023,2,6,June,2023-06,17,Saturday,true,2023,2023/24,false
2023-06-18,2023,2,6,June,2023-06,18,Sunday,true,2023,2023/24,false
2023-06-19,2023,2,6,June,2023-06,19,Monday,false,2023,2023/24,false
2023-06-20,2023,2,6,June,2023-06,20,Tuesday,false,2023,2023/24,false
2023-06-21,2023,2,6,June,2023-06,21,Wednesday,false,2023,2023/24,false
2023-06-22,2023,2,6,June,2023-06,22,Thursday,false,2023,2023/24,false
2023-06-23,2023,2,6,June,2023-06,23,Friday,false,2023,2023/24,false
2023-06-24,2023,2,6,June,2023-06,24,Saturday,true,2023,2023/24,false
2023-06-25,2023,2,6,June,2023-06,25,Sunday,true,2023,2023/24,false
2023-06-26,2023,2,6,June,2023-06,26,Monday,false,2023,2023/24,false
2023-06-27,2023,2,6,June,2023-06,27,Tuesday,false,2023,2023/24,false
2023-06-28,2023,2,6,June,2023-06,28,Wednesday,false,2023,2023/24,false
2023-06-29,2023,2,6,June,2023-06,29,Thursday,false,2023,2023/24,false
2023-06-30,2023,2,6,June,2023-06,30,Friday,false,2023,2023/24,false
2023-07-01,2023,3,7,July,2023-07,1,Saturday,true,2023,2023/24,false
2023-07-02,2023,3,7,July,2023-07,2,Sunday,true,2023,2023/24,false
2023-07-03,2023,3,7,July,2023-07,3,Monday,false,2023,2023/24,false
